"sex","n","mean","sd","skewness","kurtosis","p_value","cohen_d"
"MALE",6624,1.41407409978865e-07,2.83966211926307e-08,-0.00897818510440105,3.01621848901848,0.956065858752911,0.000894511860156239
"FEMALE",8831,1.41432927301551e-07,2.86268078840064e-08,0.0244474816231496,3.02221328134456,0.956065858752911,0.000894511860156239
